Country / Territory,ISO3,Region,CPI score 2021,CPI score 2020,CPI score 2019,CPI score 2018,CPI score 2017,CPI score 2016,CPI score 2015,CPI score 2014,CPI Score 2013,CPI Score 2012
Gambia,GMB,SSA,37,37,37,37,30,26,28,29,28,34
Ecuador,ECU,AME,36,39,38,34,32,31,32,33,35,32
Peru,PER,AME,36,38,36,35,37,35,36,38,38,38
Cote d'Ivoire,CIV,SSA,36,36,35,35,36,34,32,32,27,29
Panama,PAN,AME,36,35,36,37,37,38,39,37,35,38
Moldova,MDA,ECA,36,34,32,33,31,30,33,35,35,36
Albania,ALB,ECA,35,36,35,36,38,39,36,33,31,33
Thailand,THA,AP,35,36,36,36,37,35,38,38,35,37
Bosnia and Herzegovina,BIH,ECA,35,35,36,38,38,39,38,39,42,42
Mongolia,MNG,AP,35,35,35,37,36,38,39,39,38,36
Malawi,MWI,SSA,35,30,31,32,31,31,31,33,37,37
El Salvador,SLV,AME,34,36,34,35,33,36,39,39,38,38
Sierra Leone,SLE,SSA,34,33,33,30,30,30,29,31,30,31
Algeria,DZA,MENA,33,36,35,35,33,34,36,36,36,34
Philippines,PHL,AP,33,34,34,36,34,35,35,38,36,34
Egypt,EGY,MENA,33,33,35,35,32,34,36,37,32,32
Nepal,NPL,AP,33,33,34,31,31,29,27,29,31,27
Zambia,ZMB,SSA,33,33,34,35,37,38,38,38,38,37
Eswatini,SWZ,SSA,32,33,34,38,39,,,43,39,37
Ukraine,UKR,ECA,32,33,30,32,30,29,27,26,25,26
Niger,NER,SSA,31,32,32,34,33,35,34,35,34,33
Mexico,MEX,AME,31,31,29,28,29,30,31,35,34,34
Gabon,GAB,SSA,31,30,31,31,32,35,34,37,34,35
Papua New Guinea,PNG,AP,31,27,28,28,29,28,25,25,25,25
Bolivia,BOL,AME,30,31,31,29,33,33,34,35,34,34
Kenya,KEN,SSA,30,31,28,27,28,26,25,25,27,27
Azerbaijan,AZE,ECA,30,30,30,25,31,30,29,29,28,27
Laos,LAO,AP,30,29,29,29,29,30,25,25,26,21
Togo,TGO,SSA,30,29,29,30,32,32,32,29,29,30
Dominican Republic,DOM,AME,30,28,28,30,29,31,33,32,29,32
Paraguay,PRY,AME,30,28,28,29,29,30,27,24,24,25
Djibouti,DJI,SSA,30,27,30,31,31,30,34,34,36,36
Mali,MLI,SSA,29,30,29,32,31,32,35,32,28,34
Russia,RUS,ECA,29,30,28,28,29,29,29,27,28,28
Liberia,LBR,SSA,29,28,28,32,31,37,37,37,38,41
Angola,AGO,SSA,29,27,26,19,19,18,15,19,23,22
Pakistan,PAK,AP,28,31,32,33,32,32,30,29,28,27
Mauritania,MRT,SSA,28,29,28,27,28,27,31,30,30,31
Myanmar,MMR,AP,28,28,29,29,30,28,22,21,21,15
Uzbekistan,UZB,ECA,28,26,25,23,22,21,19,18,17,17
Kyrgyzstan,KGZ,ECA,27,31,30,29,29,28,28,27,24,24
Uganda,UGA,SSA,27,27,28,26,26,25,25,26,26,29
Cameroon,CMR,SSA,27,25,25,25,25,26,27,27,25,26
Bangladesh,BGD,AP,26,26,26,26,28,26,25,25,27,26
Madagascar,MDG,SSA,26,25,24,25,24,26,28,28,28,32
Mozambique,MOZ,SSA,26,25,26,23,25,27,31,31,30,31
Guinea,GIN,SSA,25,28,29,28,27,27,25,25,24,24
Guatemala,GTM,AME,25,25,26,27,28,28,28,32,29,33
Iran,IRN,MENA,25,25,26,28,30,29,27,27,25,28
Tajikistan,TJK,ECA,25,25,25,25,21,25,26,23,22,22
Central African Republic,CAF,SSA,24,26,25,26,23,20,24,24,25,26
Lebanon,LBN,MENA,24,25,28,28,28,28,28,27,28,30
Nigeria,NGA,SSA,24,25,26,27,27,28,26,27,25,27
Honduras,HND,AME,23,24,26,29,29,30,31,29,26,28
Zimbabwe,ZWE,SSA,23,24,24,22,22,22,21,21,21,20
Cambodia,KHM,AP,23,21,20,20,21,21,21,21,20,22
Iraq,IRQ,MENA,23,21,20,18,18,17,16,16,16,18
Eritrea,ERI,SSA,22,21,23,24,20,18,18,18,20,25
Congo,COG,SSA,21,19,19,19,21,20,23,23,22,26
Guinea Bissau,GNB,SSA,21,19,18,16,17,16,17,19,19,25
Nicaragua,NIC,AME,20,22,22,25,26,26,27,28,28,29
Chad,TCD,SSA,20,21,20,19,20,20,22,22,19,19
Comoros,COM,SSA,20,21,25,27,27,24,26,26,28,28
Haiti,HTI,AME,20,18,18,20,22,20,17,19,19,19
Sudan,SDN,SSA,20,16,16,16,16,14,12,11,11,13
Burundi,BDI,SSA,19,19,19,17,22,20,21,20,21,19
Turkmenistan,TKM,ECA,19,19,19,20,19,22,18,17,17,17
Democratic Republic of the Congo,COD,SSA,19,18,18,20,21,21,22,22,22,21
Libya,LBY,MENA,17,17,18,17,17,14,16,18,15,21
Equatorial Guinea,GNQ,SSA,17,16,16,16,17,,,,19,20
Afghanistan,AFG,AP,16,19,16,16,15,15,11,12,8,8
"Korea, North",PRK,AP,16,18,17,14,17,12,8,8,8,8
Yemen,YEM,MENA,16,15,15,14,16,14,18,19,18,23
Venezuela,VEN,AME,14,15,16,18,18,17,17,19,20,19
Syria,SYR,MENA,13,14,13,13,14,13,18,20,17,26
Somalia,SOM,SSA,13,12,9,10,9,10,8,8,8,8
South Sudan,SSD,SSA,11,12,12,13,12,11,15,15,14,
Brunei Darussalam,BRN,AP,,60,60,63,62,58,,,60,55
